date,amount,productCategory,region,company
2023-08-20,508870.64,FMCG,West India,ITC Limited
2023-08-15,446932.44,FMCG,North India,ITC Limited
2023-07-19,301073.23,Agri Business,South India,ITC Limited
2023-12-09,293822.47,Hotels,South India,ITC Limited
2023-11-09,98070.92,Hotels,West India,ITC Limited
2023-08-27,115175.76,Agri Business,Central India,ITC Limited
2024-11-23,381422.91,Hotels,South India,ITC Limited
2024-05-22,487935.72,Paperboards,East India,ITC Limited
2024-05-21,156198.07,FMCG,Central India,ITC Limited
2023-08-18,255131.16,Hotels,East India,ITC Limited
2023-10-27,293155.87,Paperboards,West India,ITC Limited
2023-11-23,416613.42,FMCG,Central India,ITC Limited
2024-06-18,90720.54,Paperboards,East India,ITC Limited
2023-03-02,280503.62,FMCG,West India,ITC Limited
2023-09-06,157512.39,Agri Business,South India,ITC Limited
2023-07-22,212681.07,Hotels,West India,ITC Limited
2024-09-22,291435.76,Paperboards,North India,ITC Limited
2023-11-08,72984.83,Hotels,North India,ITC Limited
2023-04-16,211256.21,FMCG,North India,ITC Limited
2023-02-07,57341.10,FMCG,North India,ITC Limited
2023-08-31,53985.13,FMCG,East India,ITC Limited
2023-07-06,507566.75,Paperboards,South India,ITC Limited
2024-01-29,507474.01,Hotels,Central India,ITC Limited
2023-06-07,160520.36,Agri Business,East India,ITC Limited
2023-01-16,60332.38,Hotels,South India,ITC Limited
2023-12-25,435191.31,Paperboards,Central India,ITC Limited
2023-01-21,108439.49,FMCG,North India,ITC Limited
2024-10-27,269201.36,Paperboards,South India,ITC Limited
2023-08-02,395426.84,FMCG,West India,ITC Limited
2024-03-27,487140.04,Agri Business,South India,ITC Limited
2023-06-15,152695.54,FMCG,South India,ITC Limited
2024-04-30,395199.90,Agri Business,East India,ITC Limited
2024-01-13,78557.56,Paperboards,Central India,ITC Limited
2024-05-21,329463.28,Hotels,West India,ITC Limited
2023-10-07,67288.44,Agri Business,East India,ITC Limited
2024-09-14,60928.95,FMCG,North India,ITC Limited
2024-08-10,496462.82,FMCG,South India,ITC Limited
2023-05-04,437839.12,Paperboards,Central India,ITC Limited
2023-11-27,405228.38,Agri Business,North India,ITC Limited
2023-03-15,536420.93,Hotels,East India,ITC Limited
2023-08-24,292898.84,Agri Business,North India,ITC Limited
2023-01-14,153206.16,Agri Business,Central India,ITC Limited
2023-12-31,328053.88,Paperboards,South India,ITC Limited
2023-07-16,337135.16,FMCG,East India,ITC Limited
2023-09-08,165385.17,Paperboards,North India,ITC Limited
2024-03-26,184365.07,Hotels,Central India,ITC Limited
2023-12-12,543146.08,FMCG,West India,ITC Limited
2023-01-24,92271.71,FMCG,East India,ITC Limited
2023-03-17,419439.87,FMCG,Central India,ITC Limited
2024-04-26,359166.96,FMCG,East India,ITC Limited
2024-03-25,422821.01,Agri Business,North India,ITC Limited
2023-05-11,341204.31,Agri Business,North India,ITC Limited
2024-11-16,262550.86,Paperboards,South India,ITC Limited
2023-07-12,288134.53,FMCG,South India,ITC Limited
2024-11-25,354035.67,Paperboards,Central India,ITC Limited
2024-10-31,489769.32,Paperboards,South India,ITC Limited
2024-01-13,146456.94,Agri Business,Central India,ITC Limited
2024-07-16,119058.19,Agri Business,South India,ITC Limited
2023-02-11,167254.70,FMCG,East India,ITC Limited
2023-12-01,51189.28,FMCG,North India,ITC Limited
2023-11-04,416898.70,Hotels,Central India,ITC Limited
2023-06-19,163675.47,FMCG,South India,ITC Limited
2024-08-20,480813.27,FMCG,Central India,ITC Limited
2023-03-18,92396.42,Hotels,West India,ITC Limited
2023-04-17,370950.20,Agri Business,South India,ITC Limited
2023-06-14,444813.28,Hotels,South India,ITC Limited
2024-12-07,123345.89,Paperboards,Central India,ITC Limited
2024-02-12,376687.32,Hotels,West India,ITC Limited
2023-11-30,145936.57,Hotels,West India,ITC Limited
2024-03-13,222517.72,Paperboards,Central India,ITC Limited
2023-10-13,257855.63,Agri Business,Central India,ITC Limited
2023-06-02,511869.36,Agri Business,South India,ITC Limited
2023-01-15,371295.14,Hotels,East India,ITC Limited
2023-03-30,57472.37,FMCG,East India,ITC Limited
2023-09-04,252938.78,FMCG,North India,ITC Limited
2023-10-17,148218.34,Paperboards,South India,ITC Limited
2023-10-12,386509.98,Paperboards,West India,ITC Limited
2023-09-07,217917.48,Paperboards,South India,ITC Limited
2024-01-07,469512.52,FMCG,North India,ITC Limited
2024-04-08,172127.81,Paperboards,North India,ITC Limited
2023-05-27,372892.74,Paperboards,Central India,ITC Limited
2024-02-16,315169.85,Hotels,South India,ITC Limited
2023-01-06,301140.88,Hotels,North India,ITC Limited
2023-11-27,342373.77,FMCG,East India,ITC Limited
2023-08-23,297113.81,Paperboards,East India,ITC Limited
2023-01-19,169987.89,Paperboards,Central India,ITC Limited
2024-06-04,206809.39,Paperboards,South India,ITC Limited
2023-03-28,455753.71,Hotels,Central India,ITC Limited
2024-11-19,268997.44,Agri Business,East India,ITC Limited
2024-03-25,366834.47,FMCG,West India,ITC Limited
2024-01-10,440285.54,FMCG,South India,ITC Limited
2023-10-04,332947.70,Hotels,East India,ITC Limited
2023-04-01,526295.67,Agri Business,North India,ITC Limited
2024-03-10,327736.38,Hotels,East India,ITC Limited
2023-09-15,215302.07,FMCG,West India,ITC Limited
2024-02-18,371992.14,Hotels,South India,ITC Limited
2024-11-04,158245.14,Hotels,Central India,ITC Limited
2023-05-01,289414.85,Hotels,Central India,ITC Limited
2023-01-06,206347.02,Agri Business,West India,ITC Limited
2023-11-26,59334.01,Hotels,Central India,ITC Limited
2023-08-31,351778.81,Agri Business,Central India,ITC Limited
2023-12-05,493664.57,Agri Business,South India,ITC Limited
2024-10-23,365391.86,Paperboards,East India,ITC Limited
2023-09-14,429820.41,Hotels,East India,ITC Limited
2023-02-23,349925.32,Paperboards,East India,ITC Limited
2024-01-27,198421.74,Agri Business,East India,ITC Limited
2023-04-23,172638.85,Paperboards,East India,ITC Limited
2024-12-08,428007.51,Paperboards,South India,ITC Limited
2023-09-02,339310.19,Agri Business,South India,ITC Limited
2023-03-29,380067.04,Agri Business,Central India,ITC Limited
2023-11-24,226563.79,Agri Business,South India,ITC Limited
2024-07-06,309222.87,Hotels,West India,ITC Limited
2023-08-25,222933.82,Agri Business,South India,ITC Limited
2023-11-14,493735.95,Hotels,West India,ITC Limited
2024-04-30,57201.40,Agri Business,East India,ITC Limited
2023-04-15,371333.47,FMCG,West India,ITC Limited
2023-10-31,158182.13,Paperboards,Central India,ITC Limited
2023-09-23,500501.35,FMCG,North India,ITC Limited
2023-07-12,524796.57,Agri Business,Central India,ITC Limited
2023-04-24,138220.65,Agri Business,West India,ITC Limited
2024-07-19,159737.95,FMCG,West India,ITC Limited
2023-03-04,469820.22,FMCG,North India,ITC Limited
2024-02-19,232081.33,FMCG,West India,ITC Limited
2024-01-08,464519.77,Agri Business,South India,ITC Limited
2023-05-18,521641.87,Hotels,Central India,ITC Limited
2024-01-02,481026.74,FMCG,North India,ITC Limited
2023-06-15,170688.86,FMCG,East India,ITC Limited
2024-11-14,244031.12,Agri Business,Central India,ITC Limited
2024-05-22,537615.33,Hotels,South India,ITC Limited
2024-03-17,270711.45,FMCG,North India,ITC Limited
2024-04-05,56242.14,Paperboards,West India,ITC Limited
2023-10-24,446680.60,FMCG,East India,ITC Limited
2023-09-15,75223.39,Paperboards,East India,ITC Limited
2023-02-04,297385.67,Agri Business,East India,ITC Limited
2023-05-22,528871.39,FMCG,North India,ITC Limited
2023-01-01,397049.69,Hotels,South India,ITC Limited
2024-06-25,141273.71,Hotels,West India,ITC Limited
2024-02-09,166929.36,Paperboards,East India,ITC Limited
2024-07-25,500898.61,Hotels,East India,ITC Limited
2024-09-13,54098.44,Paperboards,East India,ITC Limited
2024-06-26,523244.73,Paperboards,Central India,ITC Limited
2023-09-06,411651.07,Agri Business,East India,ITC Limited
2023-01-15,366173.48,Agri Business,East India,ITC Limited
2023-11-29,123396.37,FMCG,North India,ITC Limited
2023-07-02,206793.00,Agri Business,North India,ITC Limited
2023-09-27,491853.57,Paperboards,North India,ITC Limited
2024-06-25,104687.72,Agri Business,Central India,ITC Limited
2023-11-24,247560.37,FMCG,East India,ITC Limited
2024-07-03,94133.46,FMCG,South India,ITC Limited
2024-03-13,414845.17,Agri Business,East India,ITC Limited
2024-09-29,368576.46,FMCG,Central India,ITC Limited
2023-10-26,428920.34,Agri Business,Central India,ITC Limited
2023-01-15,479869.25,Hotels,West India,ITC Limited
2024-12-12,335284.33,Hotels,West India,ITC Limited
2023-06-10,229480.01,Hotels,West India,ITC Limited
2023-03-30,258743.98,Paperboards,South India,ITC Limited
2024-04-30,147840.37,Paperboards,North India,ITC Limited
2024-01-12,142414.96,Agri Business,Central India,ITC Limited
2024-02-16,146327.56,Paperboards,West India,ITC Limited
2024-02-02,189806.42,FMCG,East India,ITC Limited
2023-09-18,123993.85,Hotels,South India,ITC Limited
2023-01-01,349396.69,Paperboards,East India,ITC Limited
2024-10-22,66688.68,Agri Business,West India,ITC Limited
2023-12-24,105619.76,Paperboards,North India,ITC Limited
2024-01-17,235424.32,Hotels,North India,ITC Limited
2023-06-08,131840.58,FMCG,North India,ITC Limited
2023-11-07,486816.08,FMCG,North India,ITC Limited
2024-10-16,116544.23,FMCG,Central India,ITC Limited
2024-09-04,341534.83,Agri Business,West India,ITC Limited
2023-02-24,484613.49,FMCG,South India,ITC Limited
2023-06-19,314128.44,FMCG,East India,ITC Limited
2024-02-14,339504.15,Agri Business,Central India,ITC Limited
2023-05-30,427690.97,Agri Business,West India,ITC Limited
2024-11-18,229291.01,Paperboards,Central India,ITC Limited
2024-08-06,104682.08,Hotels,East India,ITC Limited
2024-11-22,128100.42,Paperboards,West India,ITC Limited
2024-07-19,167614.99,FMCG,North India,ITC Limited
2023-09-08,525347.02,Agri Business,South India,ITC Limited
2024-10-03,537228.17,Agri Business,West India,ITC Limited
2023-10-29,409546.03,FMCG,North India,ITC Limited
2024-07-10,378648.71,FMCG,South India,ITC Limited
2024-03-27,125755.75,Paperboards,North India,ITC Limited
2023-01-22,223518.85,Paperboards,East India,ITC Limited
2024-03-29,181608.15,FMCG,West India,ITC Limited
2024-08-28,313983.78,FMCG,South India,ITC Limited
2024-11-18,489228.13,Agri Business,Central India,ITC Limited
2023-08-21,529769.20,Agri Business,West India,ITC Limited
2023-12-20,109289.98,FMCG,Central India,ITC Limited
2024-02-08,219627.79,FMCG,South India,ITC Limited
2023-02-21,323021.81,FMCG,West India,ITC Limited
2023-02-20,133440.00,FMCG,South India,ITC Limited
2023-04-06,117040.64,Paperboards,West India,ITC Limited
2023-06-27,487906.92,Paperboards,North India,ITC Limited
2023-09-28,281011.64,Agri Business,South India,ITC Limited
2023-09-28,431093.07,Hotels,North India,ITC Limited
2024-09-28,493055.94,Hotels,South India,ITC Limited
2024-02-17,141781.08,Hotels,North India,ITC Limited
2023-04-11,410510.15,FMCG,North India,ITC Limited
2024-11-13,512734.58,Agri Business,East India,ITC Limited
2024-12-02,544503.46,Paperboards,South India,ITC Limited
2023-06-11,84470.64,FMCG,Central India,ITC Limited
2024-08-23,471162.18,Paperboards,West India,ITC Limited
2024-07-26,259683.60,Agri Business,North India,ITC Limited
2023-08-09,545036.34,FMCG,East India,ITC Limited
2024-11-03,272420.22,Paperboards,Central India,ITC Limited
2023-02-16,209351.51,Agri Business,South India,ITC Limited
2024-07-18,52151.49,Agri Business,West India,ITC Limited
2024-05-31,55767.31,Agri Business,Central India,ITC Limited
2023-04-01,309687.12,FMCG,South India,ITC Limited
2023-01-20,206126.69,Hotels,East India,ITC Limited
2024-07-28,350131.98,Hotels,South India,ITC Limited
2023-02-08,535348.93,Paperboards,South India,ITC Limited
2024-06-07,179176.60,Hotels,East India,ITC Limited
2024-05-05,368652.01,Agri Business,East India,ITC Limited
2023-03-01,65800.63,Paperboards,South India,ITC Limited
2023-12-22,423611.84,Agri Business,East India,ITC Limited
2023-01-23,154520.34,Paperboards,West India,ITC Limited
2023-01-12,446363.82,Paperboards,North India,ITC Limited
2023-02-19,243429.86,Hotels,West India,ITC Limited
2023-07-17,453549.98,Paperboards,West India,ITC Limited
2023-08-27,246953.46,Paperboards,Central India,ITC Limited
2024-04-29,135248.61,Agri Business,North India,ITC Limited
2024-04-10,521742.78,Paperboards,West India,ITC Limited
2024-02-19,432056.95,FMCG,North India,ITC Limited
2024-10-12,408213.45,Agri Business,Central India,ITC Limited
2023-07-04,353057.57,FMCG,Central India,ITC Limited
2023-02-09,345545.07,Hotels,North India,ITC Limited
2024-03-29,193618.93,Paperboards,Central India,ITC Limited
2023-09-01,503110.36,Agri Business,West India,ITC Limited
2024-09-22,211023.27,Paperboards,West India,ITC Limited
2024-10-25,311564.90,Paperboards,West India,ITC Limited
2024-07-05,309684.83,Agri Business,South India,ITC Limited
2023-03-13,210323.56,Hotels,West India,ITC Limited
2023-09-25,396147.25,Paperboards,West India,ITC Limited
2024-06-08,219672.02,FMCG,North India,ITC Limited
2023-11-15,386373.80,Agri Business,East India,ITC Limited
2023-06-13,220737.74,Hotels,North India,ITC Limited
2023-07-10,191831.46,FMCG,South India,ITC Limited
2024-09-01,115641.20,Hotels,East India,ITC Limited
2024-12-16,65131.20,Paperboards,East India,ITC Limited
2023-08-31,106330.51,FMCG,West India,ITC Limited
2023-04-25,363561.03,Agri Business,East India,ITC Limited
2023-11-08,200105.63,Hotels,Central India,ITC Limited
2024-09-09,261173.62,FMCG,North India,ITC Limited
2024-08-20,544592.97,Paperboards,North India,ITC Limited
2024-05-04,297659.92,Agri Business,West India,ITC Limited
2023-03-08,421927.64,Hotels,South India,ITC Limited
2024-06-30,525574.58,Paperboards,South India,ITC Limited
2023-06-21,71496.73,FMCG,Central India,ITC Limited
2023-02-05,132747.87,Hotels,East India,ITC Limited
2023-09-23,91726.81,Agri Business,West India,ITC Limited
2023-03-22,364986.11,FMCG,Central India,ITC Limited
2023-09-26,339479.92,Paperboards,North India,ITC Limited
2024-02-25,69052.25,Paperboards,Central India,ITC Limited
2023-11-03,344442.18,Hotels,North India,ITC Limited
2023-07-31,307699.90,Hotels,South India,ITC Limited
2023-10-16,469367.65,Paperboards,Central India,ITC Limited
2024-10-08,416947.39,Hotels,East India,ITC Limited
2023-11-28,458303.49,FMCG,East India,ITC Limited
2023-05-28,270883.42,Paperboards,North India,ITC Limited
2024-04-01,71227.57,Hotels,West India,ITC Limited
2023-03-01,400592.38,Agri Business,Central India,ITC Limited
2023-03-18,252365.61,FMCG,North India,ITC Limited
2023-02-04,187448.87,FMCG,South India,ITC Limited
2023-05-31,488958.40,Agri Business,South India,ITC Limited
2023-11-16,250072.84,FMCG,South India,ITC Limited
2024-12-16,489882.47,Hotels,Central India,ITC Limited
2023-08-31,225579.00,Agri Business,Central India,ITC Limited
2023-04-05,358018.83,FMCG,South India,ITC Limited
2023-08-14,116856.40,FMCG,South India,ITC Limited
2023-11-26,485322.44,Agri Business,South India,ITC Limited
2023-05-27,261602.30,Paperboards,East India,ITC Limited
2023-08-13,372854.84,Paperboards,North India,ITC Limited
2024-10-02,159577.18,FMCG,North India,ITC Limited
2023-12-22,258266.68,Hotels,Central India,ITC Limited
2024-08-17,382313.28,FMCG,North India,ITC Limited
2023-04-21,510188.38,Hotels,East India,ITC Limited
2024-05-21,169431.61,Agri Business,East India,ITC Limited
2024-06-16,432368.38,FMCG,Central India,ITC Limited
2024-05-06,90046.36,Paperboards,North India,ITC Limited
2024-07-02,362205.22,Hotels,West India,ITC Limited
2024-08-30,244816.59,FMCG,Central India,ITC Limited
2024-03-28,412815.19,Paperboards,Central India,ITC Limited
2023-04-05,108570.56,Hotels,South India,ITC Limited
2023-10-12,528577.84,FMCG,East India,ITC Limited
2023-05-10,248957.37,Agri Business,East India,ITC Limited
2023-01-08,160194.73,Hotels,South India,ITC Limited
2023-07-02,545891.33,FMCG,North India,ITC Limited
2024-09-16,74313.16,FMCG,West India,ITC Limited
2024-07-06,306551.15,Paperboards,North India,ITC Limited
2023-12-09,256257.29,Hotels,West India,ITC Limited
2023-09-14,421578.25,FMCG,East India,ITC Limited
2024-12-25,127437.02,Agri Business,North India,ITC Limited
2023-11-18,509473.18,FMCG,South India,ITC Limited
2023-05-06,432759.20,Paperboards,West India,ITC Limited
2024-06-03,99681.79,Paperboards,Central India,ITC Limited
2024-06-19,153902.18,Agri Business,South India,ITC Limited
2023-12-17,309945.02,Agri Business,East India,ITC Limited
2024-02-25,217065.94,Paperboards,East India,ITC Limited
2023-08-14,216240.48,Hotels,North India,ITC Limited
2024-06-05,229644.22,Agri Business,South India,ITC Limited
2023-02-16,525293.79,FMCG,East India,ITC Limited
2024-07-19,150188.05,Paperboards,East India,ITC Limited
2024-11-02,495339.83,Paperboards,East India,ITC Limited
2024-11-03,515168.40,Paperboards,South India,ITC Limited
2023-08-11,428479.23,FMCG,Central India,ITC Limited
2023-11-11,200394.68,Hotels,North India,ITC Limited
2023-06-29,495355.65,Hotels,South India,ITC Limited
2023-04-16,137314.86,Paperboards,South India,ITC Limited
2024-08-19,393481.19,Paperboards,East India,ITC Limited
2024-12-18,407237.71,FMCG,North India,ITC Limited
2024-09-14,102944.00,Paperboards,East India,ITC Limited
2024-10-01,481508.20,Paperboards,North India,ITC Limited
2023-11-21,177176.71,Agri Business,East India,ITC Limited
2024-01-11,521731.84,Paperboards,North India,ITC Limited
2024-06-11,307646.27,Paperboards,North India,ITC Limited
2023-07-03,462674.28,FMCG,North India,ITC Limited
2024-02-28,261194.81,Paperboards,West India,ITC Limited
2024-08-12,94548.72,Paperboards,Central India,ITC Limited
2024-10-02,428848.73,FMCG,Central India,ITC Limited
2023-04-29,383487.51,Hotels,Central India,ITC Limited
2024-05-08,77295.07,FMCG,West India,ITC Limited
2024-04-12,524648.41,FMCG,Central India,ITC Limited
2023-08-08,252985.45,Agri Business,South India,ITC Limited
2024-09-12,58812.35,Hotels,South India,ITC Limited
2024-02-11,328945.47,Agri Business,South India,ITC Limited
2023-01-30,82461.24,Agri Business,South India,ITC Limited
2023-07-08,340887.45,Hotels,North India,ITC Limited
2024-09-08,199110.06,Hotels,West India,ITC Limited
2023-11-17,245347.23,Paperboards,South India,ITC Limited
2023-04-15,308450.72,Paperboards,North India,ITC Limited
2024-11-15,461762.83,Paperboards,North India,ITC Limited
2024-01-12,470745.03,FMCG,Central India,ITC Limited
2024-08-02,277504.34,Hotels,West India,ITC Limited
2023-09-14,222623.79,Hotels,Central India,ITC Limited
2024-12-26,509509.24,FMCG,West India,ITC Limited
2023-11-30,272915.92,Agri Business,East India,ITC Limited
2024-11-12,465751.44,Hotels,West India,ITC Limited
2023-08-13,174749.71,Hotels,North India,ITC Limited
2023-07-24,207559.52,Paperboards,East India,ITC Limited
2024-11-26,471541.17,Paperboards,South India,ITC Limited
2024-04-28,131651.43,Hotels,West India,ITC Limited
2024-12-22,264801.80,Paperboards,West India,ITC Limited
2023-03-08,108713.06,Agri Business,East India,ITC Limited
2023-05-11,157139.50,Agri Business,East India,ITC Limited
2024-01-12,74955.57,Agri Business,North India,ITC Limited
2024-10-19,427046.47,Agri Business,South India,ITC Limited
2023-12-08,394318.06,Hotels,North India,ITC Limited
2024-12-25,512119.83,Hotels,North India,ITC Limited
2024-06-22,226474.27,Agri Business,Central India,ITC Limited
2024-12-01,98966.24,FMCG,Central India,ITC Limited
2024-09-25,477545.95,Agri Business,East India,ITC Limited
2023-08-22,360373.56,Hotels,East India,ITC Limited
2024-12-18,401954.81,Paperboards,West India,ITC Limited
2024-09-06,535021.21,FMCG,South India,ITC Limited
2023-03-07,344031.79,Agri Business,South India,ITC Limited
2024-12-27,150444.53,Hotels,East India,ITC Limited
2024-11-14,465163.86,Paperboards,North India,ITC Limited
2023-02-21,385573.24,Hotels,East India,ITC Limited
2024-05-21,242856.69,Paperboards,East India,ITC Limited
2024-04-29,188135.99,Hotels,South India,ITC Limited
2023-04-11,296428.63,FMCG,East India,ITC Limited
2024-05-31,326991.83,FMCG,East India,ITC Limited
2023-05-21,397355.31,Hotels,North India,ITC Limited
2023-06-18,499949.50,Paperboards,North India,ITC Limited
2023-12-26,302345.67,Hotels,Central India,ITC Limited
2023-11-08,153179.14,FMCG,South India,ITC Limited
2023-03-03,59406.71,Paperboards,East India,ITC Limited
2024-01-15,306216.53,Paperboards,North India,ITC Limited
2023-03-06,515200.01,FMCG,Central India,ITC Limited
2023-12-17,331408.92,FMCG,West India,ITC Limited
2023-08-21,78119.90,Paperboards,South India,ITC Limited
2023-03-15,505967.89,Hotels,East India,ITC Limited
2024-12-22,190957.34,FMCG,East India,ITC Limited
2024-11-06,202324.49,Agri Business,East India,ITC Limited
2024-09-26,444212.21,FMCG,West India,ITC Limited
2023-08-31,185306.53,Hotels,North India,ITC Limited
2024-11-19,345746.89,Agri Business,South India,ITC Limited
2023-04-29,89765.80,Agri Business,Central India,ITC Limited
2023-02-18,352523.10,Paperboards,West India,ITC Limited
2024-07-06,217027.66,Hotels,West India,ITC Limited
2024-06-12,339173.69,FMCG,South India,ITC Limited
2023-03-16,418441.22,Paperboards,West India,ITC Limited
2023-06-19,276943.91,Hotels,Central India,ITC Limited
2024-07-23,538875.67,FMCG,South India,ITC Limited
2024-05-27,193512.23,FMCG,West India,ITC Limited
2024-02-05,376239.92,Hotels,South India,ITC Limited
2023-06-02,153083.03,FMCG,East India,ITC Limited
2023-05-23,349311.81,FMCG,North India,ITC Limited
2023-04-04,135415.66,Paperboards,West India,ITC Limited
2023-08-30,544392.24,Agri Business,North India,ITC Limited
2024-07-02,264688.46,Agri Business,West India,ITC Limited
2023-12-05,328842.53,Paperboards,South India,ITC Limited
2024-09-28,451298.29,FMCG,East India,ITC Limited
2023-12-12,379045.15,Agri Business,East India,ITC Limited
2024-01-16,474423.82,Hotels,East India,ITC Limited
2024-08-14,287689.72,FMCG,North India,ITC Limited
2023-02-22,288972.51,Agri Business,East India,ITC Limited
2024-12-06,493704.81,FMCG,South India,ITC Limited
2023-03-05,105988.21,Paperboards,Central India,ITC Limited
2024-12-10,171220.94,Hotels,West India,ITC Limited
2024-08-07,194867.43,Hotels,North India,ITC Limited
2023-09-26,168380.69,FMCG,Central India,ITC Limited
2023-08-31,313824.53,Agri Business,West India,ITC Limited
2023-07-18,55456.26,FMCG,North India,ITC Limited
2024-06-20,416042.86,FMCG,West India,ITC Limited
2024-06-26,294291.39,Hotels,West India,ITC Limited
2023-08-01,173161.67,Paperboards,South India,ITC Limited
2024-08-07,343806.63,Agri Business,West India,ITC Limited
2023-07-29,125582.55,Agri Business,South India,ITC Limited
2024-12-09,182142.99,Paperboards,North India,ITC Limited
2023-09-09,432357.52,Paperboards,South India,ITC Limited
2024-01-08,331385.92,Agri Business,East India,ITC Limited
2023-08-27,167636.38,FMCG,East India,ITC Limited
2024-09-25,398445.83,Hotels,Central India,ITC Limited
2023-11-24,79277.78,Agri Business,East India,ITC Limited
2024-06-12,160267.08,Paperboards,Central India,ITC Limited
2023-02-14,397068.03,Paperboards,South India,ITC Limited
2024-09-29,395565.92,Agri Business,South India,ITC Limited
2023-06-06,93738.74,Agri Business,Central India,ITC Limited
2024-02-13,327198.84,Agri Business,Central India,ITC Limited
2023-07-28,540719.51,Agri Business,East India,ITC Limited
2023-08-03,174816.60,Hotels,Central India,ITC Limited
2024-07-02,248360.76,FMCG,Central India,ITC Limited
2023-05-31,506453.99,Paperboards,East India,ITC Limited
2024-09-04,123827.59,Hotels,East India,ITC Limited
2024-01-23,387297.72,FMCG,South India,ITC Limited
2024-08-01,358297.60,Agri Business,Central India,ITC Limited
2023-08-25,355315.33,Agri Business,East India,ITC Limited
2024-07-22,224846.48,Agri Business,North India,ITC Limited
2023-01-27,274704.64,FMCG,East India,ITC Limited
2024-10-25,120094.86,Hotels,South India,ITC Limited
2023-12-21,55870.80,FMCG,North India,ITC Limited
2023-12-11,88763.97,Paperboards,South India,ITC Limited
2024-09-28,264752.37,Paperboards,East India,ITC Limited
2024-11-14,100762.09,FMCG,North India,ITC Limited
2023-05-10,135128.73,Agri Business,South India,ITC Limited
2024-02-18,538449.17,Agri Business,North India,ITC Limited
2023-02-25,390139.48,Agri Business,West India,ITC Limited
2023-05-15,408843.53,Paperboards,North India,ITC Limited
2023-11-06,453780.43,Paperboards,Central India,ITC Limited
2024-10-20,430279.65,Agri Business,Central India,ITC Limited
2023-05-10,114265.61,FMCG,Central India,ITC Limited
2023-02-09,475390.61,Hotels,North India,ITC Limited
2023-06-09,113937.91,FMCG,Central India,ITC Limited
2024-05-14,225420.71,Hotels,South India,ITC Limited
2024-01-16,223583.92,Agri Business,Central India,ITC Limited
2023-06-02,304993.10,Agri Business,South India,ITC Limited
2023-04-15,144006.66,Hotels,North India,ITC Limited
2023-10-31,363450.80,Paperboards,West India,ITC Limited
2024-07-16,355681.14,Paperboards,Central India,ITC Limited
2024-03-29,349220.31,Hotels,Central India,ITC Limited
2023-03-31,140712.12,Paperboards,South India,ITC Limited
2024-03-09,343272.09,Hotels,North India,ITC Limited
2023-01-19,405453.05,Agri Business,Central India,ITC Limited
2024-07-14,108673.51,Paperboards,East India,ITC Limited
2024-02-01,458768.36,FMCG,North India,ITC Limited
2023-07-30,98486.38,FMCG,West India,ITC Limited
2023-11-21,501047.43,Agri Business,East India,ITC Limited
2023-01-18,448358.20,Agri Business,North India,ITC Limited
2023-10-17,122944.66,Agri Business,Central India,ITC Limited
