date,amount,productCategory,region,company
2024-03-14,493039.28,Beauty & Personal Care,North India,Hindustan Unilever
2023-01-28,148813.96,Home Care,South India,Hindustan Unilever
2024-08-25,150100.09,Foods & Refreshments,West India,Hindustan Unilever
2023-06-28,243848.23,Beauty & Personal Care,Central India,Hindustan Unilever
2023-04-14,137972.22,Home Care,West India,Hindustan Unilever
2023-01-25,120470.60,Home Care,South India,Hindustan Unilever
2024-07-27,286352.77,Home Care,Central India,Hindustan Unilever
2023-06-16,468752.91,Beauty & Personal Care,West India,Hindustan Unilever
2023-06-25,63522.30,Foods & Refreshments,East India,Hindustan Unilever
2024-10-26,334512.28,Beauty & Personal Care,West India,Hindustan Unilever
2023-03-07,55929.15,Foods & Refreshments,South India,Hindustan Unilever
2023-02-11,514287.09,Beauty & Personal Care,West India,Hindustan Unilever
2023-06-10,153237.23,Home Care,South India,Hindustan Unilever
2023-05-18,408140.69,Beauty & Personal Care,North India,Hindustan Unilever
2023-02-09,146059.63,Home Care,South India,Hindustan Unilever
2023-05-13,210497.74,Home Care,South India,Hindustan Unilever
2024-09-21,272826.42,Home Care,North India,Hindustan Unilever
2023-03-01,527956.11,Foods & Refreshments,East India,Hindustan Unilever
2024-06-17,396954.08,Home Care,Central India,Hindustan Unilever
2024-03-28,546370.83,Home Care,Central India,Hindustan Unilever
2023-11-06,522038.22,Home Care,North India,Hindustan Unilever
2024-04-20,63320.90,Foods & Refreshments,North India,Hindustan Unilever
2023-03-07,492034.36,Beauty & Personal Care,West India,Hindustan Unilever
2024-11-12,547210.84,Home Care,Central India,Hindustan Unilever
2023-05-07,56657.65,Beauty & Personal Care,East India,Hindustan Unilever
2023-07-05,429338.21,Foods & Refreshments,East India,Hindustan Unilever
2023-12-02,469696.44,Beauty & Personal Care,West India,Hindustan Unilever
2024-09-11,444151.30,Home Care,North India,Hindustan Unilever
2024-04-28,260417.70,Home Care,North India,Hindustan Unilever
2023-08-23,480010.17,Beauty & Personal Care,West India,Hindustan Unilever
2024-08-17,85829.10,Foods & Refreshments,South India,Hindustan Unilever
2024-03-25,521434.02,Home Care,Central India,Hindustan Unilever
2023-08-21,96331.68,Beauty & Personal Care,East India,Hindustan Unilever
2024-01-13,88619.34,Foods & Refreshments,North India,Hindustan Unilever
2024-10-22,388048.77,Foods & Refreshments,South India,Hindustan Unilever
2024-07-24,254066.03,Beauty & Personal Care,West India,Hindustan Unilever
2024-01-02,168492.73,Home Care,East India,Hindustan Unilever
2024-02-22,94784.55,Home Care,North India,Hindustan Unilever
2024-10-29,516278.62,Beauty & Personal Care,Central India,Hindustan Unilever
2023-06-05,491011.62,Home Care,East India,Hindustan Unilever
2024-11-02,349167.64,Beauty & Personal Care,Central India,Hindustan Unilever
2024-02-29,215039.25,Foods & Refreshments,West India,Hindustan Unilever
2023-01-07,172922.93,Home Care,South India,Hindustan Unilever
2023-12-11,500983.46,Beauty & Personal Care,South India,Hindustan Unilever
2024-04-27,431340.91,Home Care,East India,Hindustan Unilever
2023-07-15,121289.37,Foods & Refreshments,South India,Hindustan Unilever
2024-09-03,352248.01,Home Care,North India,Hindustan Unilever
2024-08-11,64580.60,Foods & Refreshments,North India,Hindustan Unilever
2023-07-18,439701.22,Home Care,North India,Hindustan Unilever
2023-07-13,546376.79,Home Care,East India,Hindustan Unilever
2024-08-01,221770.75,Foods & Refreshments,Central India,Hindustan Unilever
2024-07-19,104837.24,Home Care,Central India,Hindustan Unilever
2023-09-19,337203.74,Home Care,North India,Hindustan Unilever
2024-03-01,168006.80,Home Care,East India,Hindustan Unilever
2024-03-14,203247.67,Home Care,West India,Hindustan Unilever
2024-06-13,504419.49,Home Care,North India,Hindustan Unilever
2024-01-25,383397.94,Beauty & Personal Care,North India,Hindustan Unilever
2024-11-15,428712.31,Beauty & Personal Care,Central India,Hindustan Unilever
2024-01-08,488704.82,Home Care,West India,Hindustan Unilever
2024-08-17,535624.64,Foods & Refreshments,Central India,Hindustan Unilever
2024-07-16,156008.28,Foods & Refreshments,South India,Hindustan Unilever
2024-03-07,175824.97,Home Care,Central India,Hindustan Unilever
2024-05-14,430587.91,Foods & Refreshments,West India,Hindustan Unilever
2024-06-09,533124.79,Home Care,East India,Hindustan Unilever
2024-08-20,403436.29,Home Care,East India,Hindustan Unilever
2023-12-14,501367.19,Beauty & Personal Care,North India,Hindustan Unilever
2023-06-10,165916.43,Foods & Refreshments,South India,Hindustan Unilever
2023-07-05,250380.77,Foods & Refreshments,East India,Hindustan Unilever
2024-08-31,234543.66,Foods & Refreshments,West India,Hindustan Unilever
2024-06-18,308834.04,Home Care,South India,Hindustan Unilever
2024-01-15,153159.49,Home Care,North India,Hindustan Unilever
2024-03-02,123202.24,Home Care,South India,Hindustan Unilever
2024-03-18,50611.29,Home Care,Central India,Hindustan Unilever
2023-12-14,456581.84,Foods & Refreshments,East India,Hindustan Unilever
2024-04-20,406471.03,Home Care,West India,Hindustan Unilever
2024-08-16,348545.51,Beauty & Personal Care,West India,Hindustan Unilever
2023-03-18,490914.10,Home Care,West India,Hindustan Unilever
2023-05-31,104319.36,Beauty & Personal Care,Central India,Hindustan Unilever
2024-08-03,447604.70,Home Care,East India,Hindustan Unilever
2024-06-29,317212.49,Beauty & Personal Care,East India,Hindustan Unilever
2023-04-08,66000.91,Foods & Refreshments,East India,Hindustan Unilever
2024-07-21,512127.70,Beauty & Personal Care,South India,Hindustan Unilever
2023-06-10,269671.25,Beauty & Personal Care,East India,Hindustan Unilever
2024-07-12,120805.70,Foods & Refreshments,South India,Hindustan Unilever
2023-03-02,51508.85,Home Care,Central India,Hindustan Unilever
2023-03-12,300621.10,Beauty & Personal Care,East India,Hindustan Unilever
2024-01-14,545684.20,Beauty & Personal Care,Central India,Hindustan Unilever
2024-07-17,77479.00,Home Care,West India,Hindustan Unilever
2023-10-16,191790.07,Beauty & Personal Care,North India,Hindustan Unilever
2024-01-14,459475.77,Beauty & Personal Care,Central India,Hindustan Unilever
2024-09-11,358252.26,Foods & Refreshments,North India,Hindustan Unilever
2024-06-28,344163.42,Foods & Refreshments,North India,Hindustan Unilever
2024-01-26,151679.05,Foods & Refreshments,Central India,Hindustan Unilever
2023-01-09,112158.39,Foods & Refreshments,Central India,Hindustan Unilever
2023-02-15,432801.60,Beauty & Personal Care,Central India,Hindustan Unilever
2024-04-16,84816.70,Beauty & Personal Care,West India,Hindustan Unilever
2024-11-28,417865.62,Foods & Refreshments,North India,Hindustan Unilever
2023-05-21,354592.59,Home Care,Central India,Hindustan Unilever
2024-06-01,211257.27,Foods & Refreshments,West India,Hindustan Unilever
2023-06-24,429800.21,Foods & Refreshments,East India,Hindustan Unilever
2024-06-10,100986.48,Foods & Refreshments,South India,Hindustan Unilever
2024-04-09,541932.78,Beauty & Personal Care,North India,Hindustan Unilever
2023-07-15,100718.69,Foods & Refreshments,South India,Hindustan Unilever
2023-06-24,240660.12,Foods & Refreshments,East India,Hindustan Unilever
2024-03-30,95277.41,Home Care,South India,Hindustan Unilever
2024-05-30,473351.72,Beauty & Personal Care,Central India,Hindustan Unilever
2024-09-06,282909.88,Beauty & Personal Care,West India,Hindustan Unilever
2023-09-29,228679.27,Beauty & Personal Care,Central India,Hindustan Unilever
2024-12-29,441146.55,Home Care,East India,Hindustan Unilever
2024-02-17,145523.25,Home Care,South India,Hindustan Unilever
2023-10-11,364842.32,Beauty & Personal Care,West India,Hindustan Unilever
2023-01-22,453342.99,Home Care,East India,Hindustan Unilever
2023-09-16,370429.77,Beauty & Personal Care,North India,Hindustan Unilever
2023-08-16,427948.97,Beauty & Personal Care,South India,Hindustan Unilever
2024-02-03,405818.81,Foods & Refreshments,East India,Hindustan Unilever
2024-04-29,226681.61,Home Care,Central India,Hindustan Unilever
2024-10-06,108637.21,Foods & Refreshments,West India,Hindustan Unilever
2024-06-03,60256.00,Foods & Refreshments,North India,Hindustan Unilever
2023-10-02,477601.86,Home Care,South India,Hindustan Unilever
2023-08-23,157839.19,Foods & Refreshments,North India,Hindustan Unilever
2023-08-24,478462.19,Beauty & Personal Care,Central India,Hindustan Unilever
2023-10-02,483408.34,Beauty & Personal Care,Central India,Hindustan Unilever
2024-06-23,199729.85,Foods & Refreshments,East India,Hindustan Unilever
2023-09-05,386510.75,Beauty & Personal Care,Central India,Hindustan Unilever
2024-05-11,62211.00,Beauty & Personal Care,North India,Hindustan Unilever
2023-07-02,259343.11,Beauty & Personal Care,South India,Hindustan Unilever
2024-10-12,350298.53,Beauty & Personal Care,North India,Hindustan Unilever
2024-01-11,254149.18,Beauty & Personal Care,West India,Hindustan Unilever
2024-11-07,370205.03,Foods & Refreshments,South India,Hindustan Unilever
2024-05-28,532656.00,Home Care,North India,Hindustan Unilever
2023-01-08,471734.57,Foods & Refreshments,South India,Hindustan Unilever
2023-12-16,83511.83,Foods & Refreshments,East India,Hindustan Unilever
2023-01-04,285286.48,Home Care,North India,Hindustan Unilever
2023-09-04,273226.86,Home Care,East India,Hindustan Unilever
2023-04-23,194230.79,Foods & Refreshments,West India,Hindustan Unilever
2024-01-31,203297.45,Home Care,North India,Hindustan Unilever
